CUSTOMER_ID,status,customer_bal,Accessory,Accessory_Status,amount
CUST83481,ACTIVE,60899,Earphones,PENDING,269
CUST83481,ACTIVE,60899,Bluetooth Speaker,PENDING,2810
CUST83481,ACTIVE,60899,Smart Watch,ACTIVE,2947
CUST83481,ACTIVE,60899,Power Bank,ACTIVE,2347
CUST83481,ACTIVE,60899,Phone Stand,PENDING,2800
CUST83481,ACTIVE,60899,Bluetooth Speaker,EXPIRED,1899
CUST83481,ACTIVE,60899,Charger,PENDING,3063
CUST83481,ACTIVE,60899,Memory Card,ACTIVE,4233
CUST83481,ACTIVE,60899,Screen Guard,ACTIVE,3845
CUST83481,ACTIVE,60899,Smart Watch,ACTIVE,4156
CUST83481,ACTIVE,60899,Memory Card,PENDING,272
CUST83481,ACTIVE,60899,USB Cable,EXPIRED,4392
CUST83481,ACTIVE,60899,Phone Stand,ACTIVE,665
CUST36378,ACTIVE,372788,Power Bank,PENDING,4774
CUST36378,ACTIVE,372788,Memory Card,ACTIVE,3516
CUST36378,ACTIVE,372788,Charger,PENDING,3441
CUST36378,ACTIVE,372788,Screen Guard,PENDING,4408
CUST36378,ACTIVE,372788,Memory Card,ACTIVE,2921
CUST36378,ACTIVE,372788,Phone Stand,PENDING,3479
CUST36378,ACTIVE,372788,Screen Guard,EXPIRED,4225
CUST36378,ACTIVE,372788,Charger,ACTIVE,321
CUST36378,ACTIVE,372788,Smart Watch,EXPIRED,3829
CUST74936,ACTIVE,45069,Bluetooth Speaker,ACTIVE,4435
CUST74936,ACTIVE,45069,Power Bank,EXPIRED,587
CUST74936,ACTIVE,45069,Power Bank,ACTIVE,1737
CUST74936,ACTIVE,45069,Memory Card,EXPIRED,2497
CUST74936,ACTIVE,45069,Power Bank,ACTIVE,3896
CUST74936,ACTIVE,45069,Charger,ACTIVE,4460
CUST74936,ACTIVE,45069,USB Cable,PENDING,3285
CUST74936,ACTIVE,45069,Bluetooth Speaker,PENDING,3347
CUST66647,ACTIVE,76942,Power Bank,PENDING,640
CUST66647,ACTIVE,76942,Earphones,PENDING,116
CUST66647,ACTIVE,76942,Screen Guard,ACTIVE,1891
