ProductID,ActualStock
1,248
2,122
3,799
4,988
5,200
6,870
7,320
8,227
9,590
10,175
11,869
12,287
13,118
14,700
15,483
16,723
17,990
18,899
19,147
20,960
21,290
22,839
23,997
24,172
25,593
26,89
27,247
28,185
29,261
30,585
31,392
32,670
33,59
34,256
35,592
36,904
37,779
38,-34
39,361
40,76
41,752
42,592
43,83
44,437
45,944
46,103
47,911
48,170
49,665
50,89
51,144
52,76
53,286
54,671
55,239
56,46
57,485
58,235
59,850
60,266
61,164
62,762
63,282
64,270
65,868
66,261
67,64
68,261
69,812
70,911
71,67
72,22
73,186
74,105
75,664
76,234
77,586
78,627
79,119
80,285
81,647
82,553
83,47
84,577
85,459
86,892
87,788
88,216
89,857
90,316
91,963
92,67
93,588
94,444
95,488
96,544
97,94
98,43
99,668
100,197
101,111
102,91
103,583
104,-9
105,983
106,144
107,1008
108,644
109,916
110,832
111,-6
112,430
113,135
114,7
115,81
116,582
117,149
118,392
119,855
120,13
121,260
122,629
123,397
124,416
125,717
126,343
127,1008
128,698
129,310
130,675
131,78
132,910
133,515
134,11
135,791
136,543
137,322
138,164
139,108
140,878
141,819
142,78
143,96
144,1
145,141
146,631
147,755
148,538
149,267
150,145
151,175
152,336
153,84
154,930
155,380
156,936
157,342
158,84
159,466
160,215
161,709
162,924
163,747
164,217
165,86
166,621
167,321
168,608
169,283
170,759
171,165
172,1001
173,328
174,1043
175,749
176,358
177,961
178,458
179,133
180,765
181,822
182,-29
183,475
184,305
185,400
186,233
187,712
188,375
189,30
190,710
191,639
192,992
193,865
194,955
195,788
196,521
197,946
198,837
199,834
200,377
201,509
202,42
203,988
204,674
205,509
206,207
207,634
208,354
209,98
210,846
211,478
212,335
213,492
214,411
215,637
216,717
217,611
218,556
219,197
220,566
221,251
222,339
223,647
224,970
225,344
226,736
227,659
228,415
229,430
230,982
231,755
232,752
233,1013
234,45
235,580
236,383
237,643
238,109
239,893
240,235
241,727
242,654
243,142
244,484
245,981
246,437
247,754
248,249
249,210
250,841
251,97
252,806
253,42
254,804
255,274
256,925
257,356
258,705
259,253
260,937
261,177
262,886
263,436
264,149
265,177
266,806
267,862
268,980
269,584
270,594
271,104
272,214
273,664
274,3
275,569
276,612
277,410
278,905
279,701
280,307
281,620
282,466
283,482
284,271
285,222
286,959
287,315
288,744
289,82
290,826
291,724
292,301
293,556
294,40
295,173
296,1009
297,180
298,111
299,44
300,702
301,159
302,871
303,700
304,181
305,93
306,467
307,929
308,742
309,888
310,33
311,264
312,670
313,929
314,848
315,760
316,618
317,304
318,4
319,886
320,264
321,456
322,953
323,310
324,561
325,251
326,631
327,248
328,772
329,166
330,348
331,851
332,231
333,-6
334,938
335,742
336,68
337,436
338,628
339,134
340,394
341,607
342,531
343,674
344,347
345,56
346,445
347,413
348,843
349,166
350,922
351,729
352,624
353,685
354,857
355,918
356,66
357,662
358,38
359,396
360,1004
361,898
362,776
363,541
364,822
365,6
366,496
367,149
368,44
369,688
370,85
371,894
372,686
373,548
374,275
375,450
376,717
377,243
378,728
379,46
380,540
381,53
382,481
383,690
384,593
385,866
386,182
387,434
388,69
389,841
390,694
391,585
392,385
393,742
394,40
395,195
396,37
397,325
398,108
399,798
400,152
401,393
402,789
403,310
404,923
405,427
406,392
407,762
408,778
409,644
410,56
411,604
412,213
413,634
414,789
415,647
416,580
417,543
418,387
419,922
420,94
421,501
422,43
423,316
424,640
425,214
426,295
427,883
428,810
429,537
430,263
431,540
432,945
433,929
434,148
435,512
436,313
437,130
438,970
439,732
440,319
441,970
442,599
443,441
444,835
445,-28
446,111
447,16
448,313
449,949
450,711
451,313
452,96
453,6
454,139
455,49
456,401
457,985
458,891
459,627
460,985
461,914
462,162
463,381
464,455
465,488
466,698
467,862
468,408
469,931
470,850
471,575
472,447
473,200
474,839
475,742
476,537
477,572
478,661
479,567
480,379
481,708
482,518
483,266
484,533
485,422
486,140
487,968
488,643
489,166
490,397
491,150
492,836
493,243
494,273
495,103
496,309
497,356
498,447
499,543
500,1025
501,496
502,572
503,235
504,124
505,586
506,892
507,400
508,865
509,970
510,52
511,198
512,65
513,677
514,929
515,788
516,466
517,207
