ProductID,StockQuantity
1,273
2,135
3,753
4,993
5,208
6,859
7,289
8,230
9,563
10,210
11,871
12,262
13,114
14,672
15,467
16,745
17,946
18,939
19,190
20,939
21,248
22,800
23,963
24,123
25,573
26,101
27,229
28,155
29,261
30,628
31,421
32,644
33,10
34,236
35,545
36,880
37,821
38,2
39,386
40,37
41,775
42,599
43,96
44,399
45,906
46,135
47,869
48,197
49,617
50,120
51,191
52,43
53,304
54,623
55,286
56,26
57,517
58,200
59,835
60,281
61,136
62,792
63,232
64,220
65,896
66,252
67,45
68,295
69,817
70,865
71,113
72,11
73,217
74,80
75,703
76,213
77,626
78,677
79,131
80,305
81,660
82,553
83,94
84,623
85,420
86,927
87,756
88,191
89,893
90,338
91,913
92,85
93,635
94,448
95,526
96,589
97,125
98,29
99,635
100,200
101,87
102,41
103,564
104,26
105,981
106,163
107,960
108,676
109,944
110,867
111,37
112,474
113,127
114,2
115,34
116,562
117,186
118,359
119,888
120,47
121,217
122,623
123,363
124,385
125,677
126,360
127,962
128,662
129,265
130,629
131,123
132,908
133,555
134,1
135,819
136,533
137,294
138,181
139,90
140,861
141,822
142,57
143,117
144,23
145,99
146,670
147,705
148,579
149,293
150,131
151,166
152,367
153,85
154,976
155,354
156,972
157,340
158,103
159,462
160,251
161,748
162,885
163,795
164,229
165,135
166,637
167,273
168,619
169,284
170,745
171,207
172,999
173,376
174,994
175,753
176,387
177,942
178,492
179,141
180,735
181,860
182,8
183,467
184,258
185,369
186,211
187,737
188,368
189,37
190,716
191,601
192,977
193,821
194,926
195,819
196,527
197,943
198,821
199,849
200,426
201,519
202,43
203,984
204,674
205,498
206,221
207,640
208,401
209,94
210,867
211,520
212,293
213,506
214,421
215,682
216,695
217,592
218,578
219,195
220,610
221,241
222,310
223,660
224,994
225,338
226,756
227,672
228,463
229,468
230,932
231,729
232,774
233,994
234,71
235,585
236,333
237,601
238,99
239,887
240,188
241,735
242,667
243,131
244,475
245,962
246,463
247,798
248,248
249,240
250,840
251,134
252,834
253,83
254,782
255,226
256,891
257,308
258,683
259,206
260,933
261,176
262,846
263,478
264,119
265,161
266,824
267,884
268,936
269,621
270,573
271,84
272,249
273,709
274,36
275,595
276,638
277,419
278,912
279,716
280,327
281,639
282,455
283,523
284,270
285,227
286,979
287,339
288,792
289,51
290,824
291,772
292,255
293,525
294,39
295,156
296,976
297,138
298,96
299,74
300,696
301,179
302,896
303,694
304,197
305,53
306,508
307,931
308,763
309,896
310,35
311,223
312,644
313,941
314,803
315,762
316,626
317,257
318,40
319,913
320,313
321,468
322,924
323,344
324,610
325,278
326,642
327,268
328,782
329,172
330,309
331,809
332,242
333,11
334,984
335,747
336,49
337,462
338,674
339,97
340,427
341,649
342,543
343,681
344,307
345,101
346,403
347,378
348,833
349,131
350,956
351,704
352,613
353,711
354,863
355,921
356,76
357,696
358,11
359,348
360,988
361,932
362,783
363,508
364,812
365,5
366,536
367,115
368,64
369,706
370,85
371,870
372,660
373,586
374,275
375,411
376,692
377,224
378,741
379,85
380,538
381,82
382,504
383,707
384,543
385,896
386,179
387,433
388,19
389,837
390,658
391,559
392,380
393,787
394,1
395,241
396,87
397,375
398,68
399,802
400,111
401,431
402,742
403,315
404,956
405,432
406,369
407,749
408,828
409,602
410,53
411,587
412,217
413,615
414,815
415,617
416,592
417,507
418,390
419,933
420,53
421,510
422,22
423,314
424,633
425,250
426,271
427,905
428,838
429,535
430,279
431,521
432,916
433,965
434,110
435,520
436,341
437,105
438,945
439,686
440,357
441,936
442,612
443,437
444,853
445,8
446,128
447,44
448,312
449,952
450,726
451,332
452,133
453,41
454,156
455,72
456,450
457,969
458,886
459,655
460,986
461,921
462,121
463,427
464,423
465,507
466,706
467,904
468,412
469,979
470,840
471,538
472,472
473,214
474,809
475,725
476,579
477,584
478,637
479,555
480,415
481,752
482,568
483,235
484,549
485,432
486,140
487,949
488,641
489,205
490,376
491,132
492,859
493,233
494,228
495,65
496,263
497,381
498,428
499,591
500,1000
501,464
502,557
503,245
504,162
505,630
506,856
507,424
508,864
509,969
510,49
511,156
512,94
513,725
514,928
515,750
516,416
517,173
518,872
519,197
520,133
521,204
522,581
523,976
524,371
525,815
526,526
527,675
528,444
529,441
530,941
531,50
532,354
533,859
534,625
535,663
536,27
537,995
538,373
539,930
540,661
541,566
542,71
543,981
544,10
545,252
546,755
547,208
548,520
549,505
550,768
551,213
552,703
553,343
554,547
555,158
556,754
557,497
558,479
559,312
560,201
561,819
562,361
563,659
564,90
565,509
566,291
567,415
568,422
569,890
570,224
571,417
572,566
573,647
574,234
575,85
576,352
577,154
578,668
579,968
580,732
581,184
582,182
583,420
584,211
585,647
586,693
587,599
588,237
589,185
590,627
591,336
592,398
593,567
594,585
595,125
596,975
597,232
598,803
599,964
600,134
601,723
602,51
603,278
604,982
605,544
606,7
607,513
608,882
609,313
610,567
611,571
612,211
613,609
614,3
615,969
616,802
617,183
618,986
619,55
620,893
621,474
622,313
623,300
624,445
625,569
626,829
627,810
628,378
629,116
630,152
631,108
632,652
633,804
634,125
635,39
636,739
637,964
638,208
639,947
640,3
641,558
642,947
643,646
644,434
645,246
646,519
647,807
648,322
649,728
650,367
651,498
652,319
653,198
654,979
655,37
656,7
657,255
658,446
659,245
660,659
661,378
662,173
663,268
664,875
665,85
666,732
667,599
668,803
669,889
670,763
671,611
672,653
673,533
674,171
675,27
676,405
677,978
678,7
679,453
680,264
681,472
682,517
683,631
684,211
685,999
686,910
687,276
688,63
689,575
690,857
691,257
692,20
693,516
694,179
695,750
696,801
697,962
698,828
699,903
700,930
701,113
702,670
703,107
704,546
705,852
706,193
707,225
708,436
709,375
710,571
711,956
712,437
713,80
714,704
715,872
716,247
717,514
718,176
719,767
720,947
721,788
722,321
723,556
724,652
725,39
726,731
727,192
728,353
729,560
730,676
731,544
732,474
733,65
734,830
735,267
736,366
737,35
738,913
739,67
740,769
741,541
742,490
743,601
744,641
745,971
746,146
747,199
748,33
749,593
750,100
751,745
752,960
753,909
754,222
755,734
756,674
757,682
758,534
759,347
760,351
761,519
762,709
763,561
764,181
765,478
766,936
767,737
768,32
769,317
770,887
771,517
772,294
773,24
774,259
775,308
776,100
777,80
778,441
779,177
780,62
781,551
782,12
783,323
784,251
785,255
786,136
787,453
788,69
789,389
790,786
791,938
792,216
793,267
794,859
795,442
796,585
797,550
798,480
799,570
800,267
801,420
802,850
803,788
804,45
805,703
806,911
807,351
808,340
809,897
810,811
811,323
812,591
813,775
814,826
815,507
816,694
817,466
818,277
819,627
820,18
821,870
822,617
823,162
824,259
825,824
826,274
827,469
828,974
829,766
830,14
831,542
832,613
833,604
834,599
835,619
836,878
837,755
838,215
839,781
840,549
841,113
842,143
843,294
844,197
845,84
846,262
847,87
848,529
849,434
850,938
851,439
852,621
853,346
854,626
855,963
856,362
857,527
858,655
859,963
860,879
861,939
862,428
863,365
864,979
865,132
866,907
867,677
868,984
869,756
870,20
871,957
872,825
873,909
874,872
875,772
876,794
877,936
878,324
879,799
880,965
881,671
882,117
883,410
884,596
885,368
886,296
887,351
888,516
889,870
890,295
891,988
892,540
893,757
894,120
895,927
896,951
897,559
898,940
899,714
900,584
901,426
902,382
903,384
904,645
905,494
906,961
907,610
908,964
909,893
910,139
911,234
912,125
913,497
914,882
915,249
916,935
917,640
918,13
919,642
920,156
921,617
922,666
923,911
924,452
925,173
926,200
927,39
928,81
929,797
930,48
931,688
932,860
933,887
934,168
935,520
936,195
937,535
938,292
939,949
940,274
941,991
942,792
943,668
944,107
945,241
946,510
947,501
948,854
949,305
950,564
951,825
952,853
953,483
954,978
955,741
956,24
957,20
958,168
959,692
960,59
961,63
962,791
963,95
964,440
965,479
966,293
967,445
968,848
969,331
970,544
971,247
972,905
973,710
974,316
975,744
976,630
977,266
978,294
979,504
980,184
981,632
982,502
983,663
984,63
985,680
986,61
987,222
988,743
989,785
990,498
991,20
992,64
993,782
994,187
995,333
996,83
997,727
998,101
999,448
1000,535
1001,598
1002,884
1003,105
1004,953
1005,899
1006,969
1007,372
1008,694
1009,269
1010,923
1011,391
1012,952
1013,765
1014,652
1015,45
1016,913
1017,918
1018,109
1019,979
1020,83
1021,992
1022,438
1023,691
1024,775
1025,246
1026,705
1027,437
1028,347
1029,280
1030,595
1031,792
1032,62
1033,214
1034,477
1035,628
1036,331
1037,212
1038,990
1039,403
1040,320
1041,794
1042,157
1043,120
1044,437
1045,998
1046,613
1047,971
1048,391
1049,434
1050,638
1051,540
1052,696
1053,674
1054,449
1055,886
1056,976
1057,146
1058,993
1059,919
1060,113
1061,685
1062,36
1063,288
1064,480
1065,271
1066,646
1067,661
1068,880
1069,244
1070,539
1071,650
1072,849
1073,689
1074,426
1075,903
1076,43
1077,441
1078,246
1079,645
1080,59
1081,7
1082,509
1083,736
1084,208
1085,812
1086,723
1087,462
1088,728
1089,100
1090,285
1091,522
1092,48
1093,0
1094,958
1095,475
1096,836
1097,979
1098,101
1099,704
1100,155
1101,939
1102,478
1103,886
1104,390
1105,468
1106,514
1107,187
1108,925
1109,422
1110,634
1111,749
1112,193
1113,86
1114,102
1115,317
1116,943
1117,646
1118,420
1119,503
1120,88
1121,51
1122,613
1123,364
1124,398
1125,171
1126,163
1127,156
1128,467
1129,954
1130,209
1131,299
1132,281
1133,187
1134,895
1135,778
1136,851
1137,960
1138,374
1139,253
1140,146
1141,123
1142,514
1143,957
1144,649
1145,998
1146,377
1147,572
1148,597
1149,136
1150,942
1151,304
1152,303
1153,280
1154,897
1155,175
1156,362
1157,427
1158,214
1159,9
1160,512
1161,11
1162,181
1163,195
1164,971
1165,42
1166,524
1167,754
1168,292
1169,131
1170,641
1171,474
1172,456
1173,773
1174,109
1175,749
1176,495
1177,348
1178,753
1179,992
1180,472
1181,960
1182,219
1183,628
1184,627
1185,504
1186,544
1187,478
1188,298
1189,116
1190,811
1191,215
1192,943
1193,460
1194,794
1195,843
1196,612
1197,858
1198,720
1199,793
1200,912
1201,169
1202,133
1203,659
1204,768
1205,662
1206,253
1207,171
1208,865
1209,946
1210,284
1211,891
1212,723
1213,140
1214,471
1215,797
1216,172
1217,437
1218,902
1219,382
1220,987
1221,575
1222,193
1223,627
1224,707
1225,573
1226,330
1227,59
1228,474
1229,281
1230,216
1231,745
1232,810
1233,609
1234,961
1235,838
1236,154
1237,623
1238,474
1239,504
1240,793
1241,765
1242,689
1243,60
1244,453
1245,875
1246,310
1247,498
1248,561
1249,529
1250,422
1251,192
1252,654
1253,530
1254,818
1255,143
1256,756
1257,671
1258,480
1259,441
1260,372
1261,98
1262,79
1263,507
1264,99
1265,778
1266,873
1267,584
1268,631
1269,14
1270,373
1271,743
1272,318
1273,479
1274,335
1275,959
1276,797
1277,458
1278,405
1279,472
1280,785
1281,543
1282,650
1283,231
1284,360
1285,513
1286,322
1287,348
1288,485
1289,239
1290,344
1291,775
1292,322
1293,426
1294,868
1295,840
1296,110
1297,237
1298,212
1299,26
1300,242
1301,1000
1302,890
1303,63
1304,36
1305,152
1306,747
1307,85
1308,328
1309,662
1310,4
1311,530
1312,816
1313,635
1314,414
1315,985
1316,710
1317,668
1318,758
1319,593
1320,963
1321,908
1322,355
1323,287
1324,599
1325,522
1326,112
1327,441
1328,155
1329,862
1330,425
1331,229
1332,734
1333,341
1334,577
1335,778
1336,433
1337,971
1338,214
1339,445
1340,875
1341,514
1342,283
1343,431
1344,148
1345,606
1346,351
1347,962
1348,334
1349,228
1350,777
1351,137
1352,509
1353,493
1354,967
1355,939
1356,166
1357,886
1358,356
1359,328
1360,539
1361,684
1362,992
1363,449
1364,345
1365,217
1366,890
1367,873
1368,510
1369,298
1370,708
1371,608
1372,522
1373,240
1374,48
1375,474
1376,969
1377,741
1378,273
1379,593
1380,222
1381,922
1382,349
1383,138
1384,156
1385,932
1386,714
1387,221
1388,603
1389,954
1390,372
1391,34
1392,738
1393,569
1394,679
1395,799
1396,631
1397,139
1398,334
1399,270
1400,208
1401,852
1402,794
1403,143
1404,921
1405,102
1406,872
1407,6
1408,323
1409,748
1410,143
1411,65
1412,941
1413,904
1414,773
1415,60
1416,654
1417,188
1418,215
1419,160
1420,256
1421,821
1422,219
1423,581
1424,410
1425,399
1426,680
1427,702
1428,820
1429,786
1430,247
1431,574
1432,795
1433,537
1434,990
1435,646
1436,427
1437,75
1438,529
1439,810
1440,597
1441,508
1442,881
1443,943
1444,667
1445,777
1446,597
1447,892
1448,899
1449,309
1450,993
1451,249
1452,316
1453,789
1454,19
1455,254
1456,530
1457,824
1458,350
1459,345
1460,198
1461,59
1462,485
1463,706
1464,830
1465,758
1466,42
1467,541
1468,330
1469,723
1470,622
1471,422
1472,442
1473,454
1474,444
1475,244
1476,146
1477,950
1478,225
1479,719
1480,636
1481,161
1482,998
1483,78
1484,193
1485,912
1486,912
1487,30
1488,307
1489,658
1490,205
1491,636
1492,633
1493,953
1494,362
1495,98
1496,679
1497,906
1498,647
1499,773
1500,310
1501,578
1502,900
1503,111
1504,525
1505,335
1506,393
1507,29
1508,390
1509,842
1510,84
1511,551
1512,115
1513,138
1514,848
1515,84
1516,17
1517,129
1518,126
1519,238
1520,320
1521,915
1522,286
1523,5
1524,686
1525,483
1526,141
1527,185
1528,404
1529,323
1530,998
1531,938
1532,755
1533,671
1534,329
1535,342
1536,253
1537,91
1538,540
1539,758
1540,337
1541,22
1542,506
1543,979
1544,767
1545,972
1546,759
1547,374
1548,58
1549,703
1550,371
1551,260
1552,829
1553,941
1554,214
1555,134
1556,620
1557,153
1558,472
1559,430
1560,331
1561,886
1562,625
1563,129
1564,122
1565,188
1566,858
1567,182
1568,221
1569,245
1570,777
1571,120
1572,99
1573,181
1574,315
1575,112
1576,907
1577,505
1578,297
1579,446
1580,489
1581,878
1582,496
1583,42
1584,139
1585,864
1586,627
1587,287
1588,434
1589,31
1590,502
1591,921
1592,81
1593,756
1594,629
1595,342
1596,745
1597,8
1598,711
1599,660
1600,199
1601,466
1602,900
1603,32
1604,814
1605,636
1606,503
1607,112
1608,777
1609,380
1610,85
1611,867
1612,182
1613,190
1614,327
1615,873
1616,719
1617,852
1618,984
1619,371
1620,528
1621,442
1622,590
1623,726
1624,761
1625,540
1626,390
1627,127
1628,207
1629,112
1630,205
1631,429
1632,191
1633,26
1634,842
1635,634
1636,850
1637,298
1638,807
1639,187
1640,176
1641,512
1642,82
1643,763
1644,139
1645,319
1646,972
1647,969
1648,354
1649,8
1650,115
1651,933
1652,923
1653,97
1654,312
1655,798
1656,448
1657,380
1658,704
1659,635
1660,176
1661,83
1662,50
1663,829
1664,105
1665,804
1666,464
1667,264
1668,895
1669,422
1670,414
1671,540
1672,200
1673,375
1674,163
1675,565
1676,12
1677,633
1678,472
1679,16
1680,355
1681,242
1682,623
1683,562
1684,351
1685,219
1686,534
1687,283
1688,421
1689,424
1690,338
1691,689
1692,155
1693,720
1694,563
1695,562
1696,305
1697,959
1698,44
1699,402
1700,509
1701,510
1702,733
1703,244
1704,212
1705,96
1706,677
1707,415
1708,642
1709,114
1710,404
1711,799
1712,371
1713,500
1714,635
1715,369
1716,645
1717,319
1718,551
1719,986
1720,81
1721,368
1722,852
1723,131
1724,542
1725,995
1726,636
1727,795
1728,548
1729,942
1730,105
1731,596
1732,341
1733,535
1734,861
1735,267
1736,174
1737,829
1738,186
1739,884
1740,1
1741,415
1742,781
1743,295
1744,761
1745,292
1746,560
1747,684
1748,944
1749,74
1750,741
1751,904
1752,515
1753,47
1754,721
1755,489
1756,302
1757,172
1758,339
1759,323
1760,163
1761,734
1762,214
1763,994
1764,279
1765,88
1766,792
1767,956
1768,77
1769,497
1770,449
1771,96
1772,216
1773,225
1774,260
1775,823
1776,505
1777,328
1778,543
1779,537
1780,249
1781,648
1782,1
1783,939
1784,246
1785,473
1786,829
1787,912
1788,174
1789,602
1790,721
1791,110
1792,827
1793,401
1794,50
1795,861
1796,551
1797,40
1798,113
1799,788
1800,87
1801,500
1802,326
1803,449
1804,512
1805,188
1806,791
1807,65
1808,286
1809,633
1810,623
1811,253
1812,239
1813,91
1814,998
1815,446
1816,439
1817,339
1818,379
1819,262
1820,725
1821,234
1822,917
1823,976
1824,12
1825,49
1826,354
1827,665
1828,69
1829,51
1830,719
1831,112
1832,99
1833,86
1834,492
1835,617
1836,50
1837,186
1838,77
1839,624
1840,210
1841,540
1842,898
1843,845
1844,49
1845,98
1846,201
