ORDERID,CUSTOMERID,PRODUCTID,ORDERDATE,QUANTITY,TOTALAMOUNT,REGION,REMARKS
O016666,C00250,P0021,2024-07-26,1,15.38,Central,Easy must peace drop individual.
O016667,C00444,P0076,2024-09-13,6,113.42,West,Fly head bank because run know ten factor.
O016668,C00887,P0022,2023-10-19,18,211.53,East,Production trial painting commercial raise I miss.
O016669,C00201,P0054,2025-01-26,18,157.25,South,Trip bag imagine push.
O016670,C00704,P0025,2024-04-23,4,496.26,North,Reality hope year list manager find education.
O016671,C00786,P0079,2024-01-06,19,146.98,South,Dream necessary firm TV start church.
O016672,C00263,P0032,2024-09-19,13,162.21,East,Authority rate capital ever relationship own almost.
O016673,C00301,P0096,2024-10-24,4,215.08,Central,Five have service.
O016674,C00034,P0009,2024-09-18,4,110.89,West,Garden the stage free none.
O016675,C00957,P0088,2024-06-03,11,313.04,Central,Each expert campaign bag.
O016676,C00370,P0064,2023-10-01,7,385.46,South,Last degree available town.
O016677,C00027,P0027,2023-10-19,14,495.65,South,Rock rule cause worry activity.
O016678,C00459,P0088,2025-03-06,9,47.86,North,Shake have show plant ground respond time.
O016679,C00915,P0057,2024-11-02,16,182.71,West,Agency quickly base investment moment possible.
O016680,C00546,P0078,2024-08-13,17,300.44,West,Control dinner party pattern head very.
O016681,C00949,P0089,2025-03-05,7,11.16,North,Determine bit local half.
O016682,C00450,P0047,2023-07-12,11,347.85,Central,Responsibility guy your door increase off car.
O016683,C00960,P0003,2024-06-17,13,89.41,West,Hotel hotel enjoy change effect election range.
O016684,C00636,P0045,2023-07-12,8,436.42,East,Institution everyone arm money attention add piece.
O016685,C00597,P0046,2024-10-01,9,360.48,North,Wish ground figure start not he put then.
O016686,C00452,P0075,2024-11-06,7,165.89,Central,Official decade reflect start free consumer fund prepare.
O016687,C00032,P0006,2023-11-28,8,215.49,South,Program provide town.
O016688,C00222,P0009,2024-02-04,19,221.84,North,Upon find probably early simple act enjoy.
O016689,C00646,P0012,2024-09-23,1,441.11,East,Election apply institution both watch because action look.
O016690,C00400,P0072,2025-04-16,12,497.24,North,Mouth class entire same.
O016691,C00141,P0057,2023-12-10,16,11.49,North,Fine eye which ahead.
O016692,C00194,P0065,2024-10-28,11,385.5,South,Central industry nice already answer.
O016693,C00841,P0030,2024-09-19,7,96.44,East,Respond once kid do pressure finish.
O016694,C00126,P0002,2024-12-26,9,465.09,West,Policy nor however eye suffer.
O016695,C00741,P0027,2025-02-08,19,494.42,Central,Difference safe exactly near can.
O016696,C00162,P0024,2025-01-04,13,399.4,West,Bad into various crime.
O016697,C00746,P0050,2024-10-17,19,65.53,North,Her first reach building stand democratic.
O016698,C00496,P0015,2023-11-20,15,173.21,South,Thought serve art subject cup read truth story.
O016699,C00440,P0048,2023-12-16,13,348.84,Central,Minute bit someone share believe analysis.
O016700,C00047,P0039,2023-11-21,10,476.47,West,Data break born character.
O016701,C00313,P0043,2024-08-02,17,437.22,South,Key state man little chance daughter imagine.
O016702,C00872,P0012,2023-07-31,6,179.77,North,Source million clear smile.
O016703,C00889,P0098,2025-03-29,3,281.46,North,Require medical professional stop add.
O016704,C00179,P0008,2025-04-09,14,236.28,West,Whose key everyone represent.
O016705,C00993,P0027,2024-03-10,1,394.97,South,Game eye child last.
O016706,C00269,P0024,2025-01-03,10,393.99,South,Focus specific it understand.
O016707,C00335,P0080,2024-04-18,13,121.38,South,Program certainly tree energy.
O016708,C00456,P0016,2024-03-24,3,234.03,West,Yes you religious anyone age support.
O016709,C00379,P0070,2023-07-15,15,356.45,West,International suffer song need material wear six lose.
O016710,C00221,P0068,2024-12-28,5,360.27,North,Woman weight offer poor call dream.
O016711,C00302,P0047,2024-06-01,10,297.72,Central,Deep you focus yourself bit worker Mrs that.
O016712,C00094,P0069,2024-08-11,18,198.62,South,Who to blue.
O016713,C00526,P0061,2024-02-29,11,334.84,South,Entire somebody something power.
O016714,C00962,P0049,2023-11-21,12,491.35,West,Bit western word reflect.
O016715,C00183,P0084,2023-07-05,1,57.17,South,Spend wish always son find than.
O016716,C00375,P0003,2023-10-17,8,408.91,East,Lay wrong experience once likely provide sort.
O016717,C00978,P0093,2025-03-07,5,221.51,Central,Fast itself continue door need site his.
O016718,C00096,P0086,2023-09-27,17,313.32,North,Understand machine us image east response scene.
O016719,C00417,P0017,2023-10-30,15,484.13,East,Tough standard camera probably party.
O016720,C00474,P0059,2025-04-24,7,145.77,South,News purpose do Congress.
O016721,C00422,P0022,2025-03-27,1,48.58,West,Purpose hard big mission continue around.
O016722,C00111,P0007,2023-11-17,4,80.16,North,Group art talk cost his second well.
O016723,C00012,P0039,2025-02-05,12,480.13,East,Agent sport interesting alone this soldier.
O016724,C00939,P0098,2023-07-24,8,65.54,North,Treat character point all world contain.
O016725,C00208,P0001,2024-11-26,17,126.59,South,Forward style stay society off science cost result.
O016726,C00113,P0100,2024-10-29,1,368.1,West,Participant paper cultural truth.
O016727,C00417,P0014,2024-10-04,8,444.42,Central,Voice election little school.
O016728,C00523,P0096,2024-02-05,8,34.56,Central,Color everyone left ability.
O016729,C00473,P0027,2023-12-27,6,325.01,North,Happen dog seek either its staff.
O016730,C00051,P0013,2025-04-30,17,203.36,East,Third example production experience human.
O016731,C00623,P0026,2024-05-14,9,312.79,South,Make eat man value.
O016732,C00761,P0012,2023-07-23,8,16.82,North,Music read room authority foreign ahead.
O016733,C00604,P0040,2024-07-05,12,373.53,South,Sister certain record child.
O016734,C00009,P0053,2024-01-26,3,480.74,North,Summer face main special whatever interest.
O016735,C00664,P0046,2024-06-18,10,495.16,East,Oil something old produce paper country care.
O016736,C00622,P0097,2024-08-05,4,54.07,East,Hundred stay theory hope contain people.
O016737,C00547,P0064,2024-03-29,7,195.5,Central,Move big space rest professional floor.
O016738,C00721,P0076,2024-02-29,11,394.75,North,Say business bag card wish shoulder.
O016739,C00721,P0081,2023-08-30,6,245.09,Central,Able society test ask decade.
O016740,C00241,P0001,2023-08-10,6,184.35,West,Drive chance according strategy score watch eye.
O016741,C00591,P0007,2024-10-21,16,161.67,North,Suggest subject sing effect strong civil laugh whose.
O016742,C00618,P0094,2024-06-18,19,120.64,West,While right top though kid environment.
O016743,C00641,P0066,2024-09-21,14,356.87,Central,Eat way look very truth.
O016744,C00432,P0043,2024-01-11,4,375.38,West,Recognize foreign hear something.
O016745,C00775,P0035,2023-09-11,12,150.63,West,Idea authority front pass.
O016746,C00080,P0084,2023-09-24,2,261.61,West,Nature increase sort capital face land.
O016747,C00674,P0071,2025-04-14,7,307.33,West,Hot trade management be very.
O016748,C00046,P0042,2023-09-04,19,181.57,North,Nothing pretty huge.
O016749,C00500,P0017,2024-02-22,12,196.46,North,Low figure once wrong statement.
O016750,C00842,P0031,2025-01-27,14,458.74,Central,Lose road result agreement.
O016751,C00324,P0068,2024-07-20,4,425.68,Central,Long forget page newspaper.
O016752,C00037,P0020,2023-10-05,4,495.45,South,Bed very better crime different recently trial.
O016753,C00513,P0052,2024-04-03,8,304.74,Central,If design point present bag partner join right.
O016754,C00796,P0008,2025-01-30,3,456.56,South,Plant know price gas know.
O016755,C00921,P0017,2024-01-15,17,245.07,South,Meet voice surface different pretty.
O016756,C00894,P0008,2024-07-23,6,396.92,North,North staff case voice.
O016757,C00660,P0058,2025-02-22,17,400.47,North,Toward decide series already rich.
O016758,C00079,P0052,2025-06-13,6,188.67,East,Including well determine modern pick friend.
O016759,C00844,P0008,2023-11-21,16,325.0,East,Personal quite now just bring natural.
O016760,C00470,P0035,2024-06-28,19,228.76,East,Expert future provide suffer.
O016761,C00622,P0060,2024-12-09,5,251.31,Central,Floor simply but Democrat.
O016762,C00323,P0086,2025-06-16,11,356.19,East,Beat war officer economy his executive treat north.
O016763,C00434,P0094,2024-07-04,2,439.02,North,Get bad report government quite rule.
O016764,C00777,P0016,2024-02-29,7,413.83,North,Radio director article the back ready.
O016765,C00524,P0003,2024-12-24,2,300.64,West,Son until point guess include fast.
O016766,C00948,P0097,2023-09-03,12,36.06,Central,Produce experience experience various.
O016767,C00435,P0009,2023-11-29,16,283.3,Central,Prevent any score ago.
O016768,C00116,P0039,2024-08-24,16,91.59,Central,Cultural language employee brother up admit.
O016769,C00503,P0068,2024-07-22,10,311.08,South,Consider positive school relate dream authority.
O016770,C00662,P0065,2024-11-10,12,222.68,North,Company federal similar public west both of.
O016771,C00487,P0038,2023-07-19,8,488.28,East,Owner think middle themselves somebody newspaper only.
O016772,C00471,P0017,2024-03-28,4,469.07,North,Good hair city father material and.
O016773,C00495,P0006,2025-06-29,7,395.81,North,Experience only piece where after.
O016774,C00230,P0041,2025-05-20,15,325.46,Central,Science concern certain necessary value ground.
O016775,C00656,P0089,2024-12-19,15,122.18,South,Area family floor easy senior.
O016776,C00218,P0052,2023-12-14,17,186.55,East,Upon continue century work guess heavy.
O016777,C00144,P0015,2023-12-01,16,376.48,North,Join fast program property source.
O016778,C00251,P0014,2024-10-13,1,478.47,East,Friend choice make how southern.
O016779,C00019,P0026,2024-02-09,10,499.81,North,Produce believe soon structure.
O016780,C00578,P0027,2024-12-31,10,338.61,South,Data president deep woman act.
O016781,C00824,P0015,2025-02-22,11,428.31,South,Say you billion serious.
O016782,C00403,P0001,2023-10-27,12,388.47,North,Bring employee number create area chair.
O016783,C00105,P0033,2025-04-06,18,80.49,North,Leave town no north modern.
O016784,C00778,P0060,2023-07-14,2,281.47,South,Hotel detail real.
O016785,C00803,P0004,2024-08-15,5,303.79,West,Despite bed begin ever season eat.
O016786,C00563,P0072,2025-06-27,2,40.95,North,Start loss even expert.
O016787,C00294,P0018,2024-09-18,1,126.85,West,Since power health commercial.
O016788,C00429,P0001,2024-08-05,1,129.56,South,Budget bag my opportunity stage film.
O016789,C00521,P0063,2025-05-13,1,127.54,West,Interview black network style food service.
O016790,C00293,P0100,2024-09-05,3,394.56,South,Economy exist character someone factor employee.
O016791,C00276,P0068,2024-03-30,7,24.21,North,Unit more maybe record act body.
O016792,C00605,P0027,2023-08-14,12,259.92,East,Wind station live American.
O016793,C00056,P0066,2024-07-18,19,470.91,West,Staff too money we.
O016794,C00772,P0045,2023-10-19,15,89.25,East,Trade have cultural prevent key product.
O016795,C00636,P0077,2025-06-11,7,369.33,East,Today little behavior put share attention.
O016796,C00957,P0010,2025-03-29,16,138.17,West,Care pull instead two hospital husband leave.
O016797,C00655,P0076,2024-10-10,12,225.74,Central,Occur society scene see much thought.
O016798,C00226,P0093,2024-09-29,5,43.59,West,Couple some above no strong change.
O016799,C00026,P0001,2024-02-19,6,355.28,North,Those fact himself relate front data.
O016800,C00140,P0028,2024-01-12,6,219.07,South,Investment candidate almost Mr this memory.
O016801,C00480,P0053,2024-08-29,4,351.81,North,Full believe perhaps watch thing company.
O016802,C00678,P0077,2025-05-09,3,409.45,North,Goal forward much window wait pay religious marriage.
O016803,C00066,P0082,2024-04-21,8,200.58,South,Six economy everybody surface activity prove.
O016804,C00274,P0014,2025-01-21,1,243.58,East,Part state eat yet newspaper grow poor meeting.
O016805,C00867,P0060,2025-01-11,16,275.62,North,Effort goal world trouble.
O016806,C00049,P0047,2025-03-25,5,148.35,East,Throw administration decide election move.
O016807,C00357,P0006,2024-09-09,1,128.81,South,Thus if them kind attention.
O016808,C00609,P0099,2023-12-29,11,96.15,Central,Skill thought same say draw suffer.
O016809,C00198,P0047,2024-06-26,8,105.3,East,Record financial seat actually expert say.
O016810,C00363,P0007,2024-01-28,1,207.13,East,Defense less item set article.
O016811,C00229,P0025,2024-05-12,15,466.45,South,Discuss news free field recognize.
O016812,C00815,P0071,2025-01-04,2,450.01,Central,Painting buy part around us morning.
O016813,C00688,P0079,2023-11-15,15,16.82,Central,Daughter increase form enough agent success factor.
O016814,C00664,P0009,2024-06-07,10,255.21,Central,Instead to movement pay.
O016815,C00721,P0093,2024-07-11,3,233.85,East,Road dream side usually.
O016816,C00707,P0033,2024-08-28,8,324.71,North,We see when book artist exactly.
O016817,C00283,P0039,2024-05-09,1,240.07,North,Build require series break.
O016818,C00577,P0046,2024-07-06,6,142.19,North,Push threat check claim.
O016819,C00099,P0048,2024-03-25,3,344.59,South,Realize everybody white song evidence west.
O016820,C00322,P0037,2023-09-04,15,270.54,Central,Public its radio benefit.
O016821,C00191,P0017,2023-11-24,9,303.97,West,Find what example stay.
O016822,C00093,P0009,2023-07-03,6,42.12,North,Top might production share.
O016823,C00912,P0036,2024-11-12,12,380.53,Central,Along successful owner lawyer design already.
O016824,C00383,P0026,2025-06-08,7,317.0,South,Particularly while source decide majority gas reason walk.
O016825,C00773,P0040,2024-03-11,6,459.02,West,Memory build west information gas design.
O016826,C00125,P0089,2025-06-24,13,75.7,North,Population want add provide building should must.
O016827,C00194,P0046,2023-10-10,11,61.12,South,Rich language benefit raise head.
O016828,C00218,P0082,2023-12-16,8,493.38,Central,Thought every current nearly past choose base.
O016829,C00003,P0081,2024-08-19,10,493.39,West,Painting forward wind media you fire.
O016830,C00502,P0016,2023-10-11,19,316.08,Central,Democrat appear organization involve.
O016831,C00390,P0022,2024-03-04,11,194.67,East,Reason evening high third increase majority computer nice.
O016832,C00798,P0047,2024-06-07,16,380.98,North,Property about poor life member.
O016833,C00956,P0017,2024-09-14,10,378.09,South,Happy lawyer model.
O016834,C00444,P0078,2023-11-06,6,57.66,South,Leg condition whom first agreement study set.
O016835,C00537,P0055,2023-10-21,4,101.72,Central,Indeed course early activity.
O016836,C00379,P0067,2023-10-05,11,88.43,West,Hotel star police plant nature pattern author.
O016837,C00104,P0045,2025-04-29,7,267.84,East,Degree perhaps glass loss store direction.
O016838,C00923,P0075,2024-09-24,9,403.01,West,Suffer old whom different American perhaps.
O016839,C00460,P0010,2023-12-31,13,493.37,South,Change purpose type family believe.
O016840,C00652,P0090,2023-12-29,5,87.03,Central,Center newspaper time.
O016841,C00992,P0031,2025-01-01,8,367.72,North,Also far while never theory mention smile.
O016842,C00283,P0031,2025-03-05,7,421.05,East,Network interview north choose financial everybody.
O016843,C00331,P0056,2024-07-20,18,88.21,Central,Citizen someone general sit.
O016844,C00588,P0012,2023-08-01,17,377.85,Central,Sell act fast hundred.
O016845,C00061,P0017,2025-04-17,1,275.89,South,Seek bag activity capital.
O016846,C00411,P0013,2023-09-04,16,283.89,North,Option mouth production require entire television.
O016847,C00375,P0056,2024-06-06,15,118.62,South,News serve significant.
O016848,C00946,P0098,2023-11-13,2,326.56,North,Identify later whom little them you approach.
O016849,C00247,P0018,2024-09-17,1,459.16,South,Head baby stand detail way.
O016850,C00708,P0046,2024-05-26,13,275.42,North,Receive free religious.
O016851,C00819,P0004,2024-05-09,3,433.19,North,Once hand tend surface coach.
O016852,C00187,P0038,2024-08-27,8,63.27,Central,My agreement than.
