ORDERID,CUSTOMERID,PRODUCTID,ORDERDATE,QUANTITY,TOTALAMOUNT,REGION,REMARKS
O000000,C00845,P0093,2025-04-18,13,351.21,North,International when then play.
O000001,C00758,P0034,2024-04-27,16,235.8,East,Indeed drop believe let change issue.
O000002,C00421,P0071,2025-02-10,1,103.24,West,Nice stock success former organization.
O000003,C00259,P0020,2025-05-24,4,369.2,North,Green name list lay upon.
O000004,C00512,P0077,2024-05-24,4,410.84,Central,Outside however certainly detail cultural so.
O000005,C00405,P0080,2023-08-03,8,413.77,South,Investment necessary billion garden.
O000006,C00784,P0085,2024-01-20,10,241.53,North,Police people country.
O000007,C00304,P0017,2024-08-03,19,102.76,Central,Become ever play total sign.
O000008,C00477,P0048,2024-07-14,5,340.31,South,Travel catch huge research.
O000009,C00584,P0014,2024-05-12,7,330.75,West,Discussion stage another common physical she.
O000010,C00909,P0008,2025-06-15,13,79.97,East,Old plan eight ahead stock hear worry box.
O000011,C00505,P0073,2025-03-02,2,340.85,Central,Poor foreign term hear hospital effort store current.
O000012,C00282,P0035,2025-04-07,7,165.29,North,Across career hotel environment prepare tax money.
O000013,C00756,P0050,2024-02-23,8,461.3,East,The particular history walk up.
O000014,C00619,P0088,2024-07-07,15,88.33,East,Upon wonder art station.
O000015,C00251,P0002,2024-04-06,18,236.24,Central,Fall bit nation reach write certain wide.
O000016,C00910,P0035,2024-09-28,6,420.15,North,Role agency lose sing player old.
O000017,C00983,P0073,2025-05-25,14,50.91,North,Possible chance manage position water Democrat.
O000018,C00811,P0043,2025-06-07,9,224.77,East,Moment soldier around oil college low fact nature.
O000019,C00903,P0098,2023-12-19,10,163.73,East,Physical administration culture generation.
O000020,C00311,P0032,2024-07-29,17,409.84,North,Conference service social protect.
O000021,C00730,P0044,2023-10-19,6,297.16,East,Others response fly trouble Republican price game.
O000022,C00899,P0099,2024-02-06,16,221.85,East,Own key newspaper theory job.
O000023,C00684,P0021,2023-10-19,16,184.07,North,Half indicate present possible single successful.
O000024,C00473,P0041,2025-02-09,1,356.96,Central,Candidate loss there treatment feeling.
O000025,C00101,P0004,2023-09-14,19,45.93,South,Government company already discussion service technology research.
O000026,C00435,P0023,2024-10-25,4,399.63,West,Ball young carry investment mean wife.
O000027,C00611,P0058,2025-03-14,18,388.53,South,White common author hot.
O000028,C00914,P0067,2024-01-13,15,210.89,East,Me bar so provide old.
O000029,C00967,P0060,2025-06-08,8,260.66,East,Child campaign check factor.
O000030,C00478,P0073,2024-08-19,1,496.84,East,Of part American conference travel.
O000031,C00866,P0057,2024-12-31,2,88.56,West,Mention opportunity rock might senior require.
O000032,C00261,P0090,2025-03-23,10,97.94,Central,Military fall certain prove theory bring.
O000033,C00806,P0011,2024-10-12,1,355.37,South,Election serve sea PM.
O000034,C00549,P0096,2025-06-02,11,98.05,South,Fill analysis hope safe picture film.
O000035,C00015,P0093,2023-10-25,4,389.75,North,Positive organization each do consumer bed color.
O000036,C00720,P0090,2024-02-28,12,364.68,South,Popular or benefit represent who nice vote Democrat.
O000037,C00399,P0036,2023-09-17,19,123.47,North,Nature property bank soon risk.
O000038,C00825,P0097,2025-01-19,3,188.78,North,Foreign interesting hold level audience school back.
O000039,C00669,P0020,2023-08-29,1,77.92,Central,Suffer process radio something project boy.
O000040,C00002,P0085,2025-05-31,1,472.53,West,Certain country mother positive.
O000041,C00494,P0031,2025-04-23,5,346.9,South,Shake special current each certainly season region.
O000042,C00868,P0052,2024-12-15,6,128.33,East,Quickly common decade doctor life.
O000043,C00244,P0039,2024-03-15,7,80.26,West,Society least tend society cold economy positive.
O000044,C00326,P0042,2024-07-03,9,50.59,East,Name tell war conference around.
O000045,C00871,P0084,2024-09-09,18,137.88,North,Manage president call former.
O000046,C00192,P0032,2023-09-19,16,256.64,Central,Couple environment citizen size author year.
O000047,C00568,P0030,2024-04-02,5,20.73,North,Quite all house agree until cut put.
O000048,C00239,P0030,2024-06-04,10,280.78,Central,Choice someone prepare business our.
O000049,C00968,P0023,2024-03-04,11,284.82,East,Fight nearly play success role partner.
O000050,C00804,P0028,2024-10-19,2,113.18,East,Itself man off series throughout remember little.
O000051,C00448,P0071,2024-11-11,2,14.79,West,Best skin first collection.
O000052,C00081,P0003,2025-06-11,8,233.12,West,Audience long structure computer police return.
O000053,C00321,P0033,2023-12-08,10,263.82,Central,Would Congress perform read production.
O000054,C00508,P0046,2024-09-04,4,471.67,West,Form great doctor common.
O000055,C00933,P0048,2024-07-07,7,23.07,South,Stay parent behavior each data money fall.
O000056,C00110,P0008,2024-06-10,12,290.96,North,In decade explain security light cost eat after.
O000057,C00552,P0011,2025-05-05,15,499.77,East,Too particularly represent arm ready foreign whose us.
O000058,C00707,P0075,2024-08-10,19,68.74,North,Recent hotel population husband impact particular central.
O000059,C00548,P0006,2024-01-21,1,172.6,East,Happen author civil stage possible.
O000060,C00815,P0011,2023-08-20,15,268.73,South,Page discover raise and black Republican.
O000061,C00541,P0019,2025-03-19,4,23.38,Central,Heavy degree wonder make.
O000062,C00964,P0019,2025-06-15,13,375.84,East,Could consumer help area piece.
O000063,C00604,P0057,2024-09-01,11,478.57,East,Like company office spring.
O000064,C00588,P0078,2025-06-13,12,257.49,West,After control these short environmental save goal.
O000065,C00445,P0027,2023-07-13,5,332.01,Central,Mention author risk million international he.
O000066,C00597,P0081,2023-09-13,7,168.97,North,Dinner at hold white spend story the.
O000067,C00385,P0014,2025-01-12,5,196.67,East,Fear computer camera rise seat sister yet fast.
O000068,C00576,P0061,2025-04-15,16,246.75,Central,Nothing site class class at former.
O000069,C00291,P0064,2024-05-07,4,177.56,West,Wrong nor political whose future realize class.
O000070,C00190,P0024,2025-01-04,13,175.0,West,Stage Congress soldier.
O000071,C00187,P0036,2025-04-03,5,36.75,Central,Culture something type off exist paper.
O000072,C00613,P0083,2025-03-03,9,281.95,Central,Debate decade table visit.
O000073,C00657,P0041,2024-12-02,15,19.54,Central,Employee lose organization.
O000074,C00477,P0068,2024-10-30,16,428.12,West,Method rate wife again significant share.
O000075,C00090,P0014,2023-07-03,4,140.66,North,Every feel huge miss hospital.
O000076,C00758,P0098,2024-10-20,16,368.63,East,College discover first high.
O000077,C00877,P0061,2024-07-20,14,28.27,North,Since floor east expect he agreement.
O000078,C00924,P0009,2025-04-06,17,251.32,East,Hotel develop fund building.
O000079,C00843,P0043,2025-05-06,18,361.87,South,Community special popular do professor drive.
O000080,C00899,P0090,2024-03-17,6,76.57,North,Into arm relate.
O000081,C00924,P0024,2024-01-08,10,443.51,North,Trade article head beyond reveal successful seem.
O000082,C00541,P0029,2025-01-20,4,247.28,West,Fact sense decade.
O000083,C00392,P0017,2024-03-11,1,422.39,Central,Hot stand nature high break sort.
O000084,C00706,P0024,2024-12-30,6,88.71,West,State certainly skill white.
O000085,C00276,P0035,2025-05-09,1,207.37,Central,Affect significant entire away case.
